"","ID","Name","Nationality","Club_Joining","Contract_Expiry","Rating","Height","Preffered_Foot","Birth_Date","Age","Work_Rate","Weight"
"1",1,"Cristiano Ronaldo","Portugal",2009-07-01,2021,94,185,"Right",1985-02-05,31,"High / Low",78
"2",2,"Lionel Messi","Argentina",2004-07-01,2018,93,178,"Left",1987-06-24,29,"Medium / Medium",72
"3",3,"Neymar","Brazil",2013-07-01,2021,92,174,"Right",1992-02-05,24,"High / Medium",68
"4",4,"Luis Suárez","Uruguay",2014-07-11,2021,92,182,"Right",1987-01-24,29,"High / Medium",85
"5",5,"Manuel Neuer","Germany",2011-07-01,2021,92,193,"Right",1986-03-27,30,"Medium / Medium",84
"6",6,"De Gea","Spain",2011-07-01,2019,90,186,"Right",1990-11-07,26,"Medium / Medium",82
"7",7,"Robert Lewandowski","Poland",2014-07-01,2021,90,185,"Right",1988-08-21,28,"High / Medium",78
"8",8,"Gareth Bale","Wales",2013-09-02,2022,90,183,"Left",1989-07-16,27,"High / Medium",74
"9",9,"Zlatan Ibrahimovic","Sweden",2016-07-01,2017,90,195,"Right",1981-10-03,35,"Medium / Low",95
"10",10,"Thibaut Courtois","Belgium",2011-07-26,2019,89,199,"Left",1992-05-11,24,"Medium / Medium",91
"11",11,"Jérôme Boateng","Germany",2011-07-14,2021,89,192,"Right",1988-09-03,28,"Medium / Medium",90
"12",12,"Eden Hazard","Belgium",2012-07-01,2020,89,173,"Right",1991-01-07,25,"High / Medium",74
"13",13,"Luka Modric","Croatia",2012-08-01,2020,89,174,"Right",1985-09-09,31,"High / Medium",65
"14",14,"Mesut Özil","Germany",2013-09-02,2018,89,180,"Left",1988-10-15,28,"Medium / Low",76
"15",15,"Gonzalo Higuaín","Argentina",2016-07-26,2021,89,184,"Right",1987-12-10,29,"High / Medium",92
"16",16,"Thiago Silva","Brazil",2012-07-01,2020,89,183,"Right",1984-09-22,32,"High / High",79
"17",17,"Sergio Ramos","Spain",2005-08-01,2020,89,183,"Right",1986-03-30,30,"High / Medium",75
"18",18,"Sergio Agüero","Argentina",2011-07-28,2020,89,173,"Right",1988-06-02,28,"High / Medium",70
"19",19,"Paul Pogba","France",2016-08-09,2021,88,191,"Right",1993-03-15,23,"High / Medium",84
"20",20,"Antoine Griezmann","France",2014-07-29,2021,88,176,"Left",1991-03-21,25,"High / Medium",67
"21",21,"Kevin De Bruyne","Belgium",2015-08-30,2021,88,181,"Right",1991-06-28,25,"High / High",68
"22",22,"Marco Reus","Germany",2012-07-01,2019,88,182,"Right",1989-05-31,27,"Medium / Medium",76
"23",23,"Alexis Sánchez","Chile",2014-07-10,2018,88,169,"Right",1988-12-19,28,"High / High",62
"24",24,"Toni Kroos","Germany",2014-07-17,2022,88,182,"Right",1990-01-04,26,"Medium / Medium",78
"25",25,"Diego Godín","Uruguay",2010-08-01,2019,88,185,"Right",1986-02-16,30,"Medium / High",73
"26",26,"Mats Hummels","Germany",2016-07-01,2021,88,191,"Right",1988-12-16,28,"High / Medium",92
"27",27,"Hugo Lloris","France",2012-08-01,2022,88,188,"Left",1986-12-26,30,"Medium / Medium",82
"28",28,"Giorgio Chiellini","Italy",2005-07-01,2018,88,187,"Left",1984-08-14,32,"Low / High",84
"29",29,"Philipp Lahm","Germany",2002-11-01,2018,88,170,"Right",1983-11-11,33,"Medium / High",66
"30",30,"Pepe","Portugal",2007-07-01,2017,88,188,"Right",1983-02-26,33,"Medium / High",81
"31",31,"Petr Cech","Czech Republic",2015-06-29,2019,88,196,"Left",1982-05-20,34,"Medium / Medium",90
"32",32,"Gianluigi Buffon","Italy",2001-07-01,2018,88,192,"Right",1978-01-28,38,"Medium / Medium",91
"33",33,"Iniesta","Spain",2002-07-01,2018,88,171,"Right",1984-05-11,32,"High / Medium",68
"34",34,"Jan Oblak","Slovenia",2014-07-17,2021,87,189,"Right",1993-01-07,23,"Medium / Medium",87
"35",35,"James Rodríguez","Colombia",2014-07-22,2020,87,180,"Left",1991-07-12,25,"Medium / Low",75
"36",36,"Pierre-Emerick Aubameyang","Gabon",2013-07-04,2020,87,187,"Right",1989-06-18,27,"Medium / Low",80
"37",37,"Leonardo Bonucci","Italy",2010-07-01,2021,87,190,"Right",1987-05-01,29,"Low / High",85
"38",38,"Arturo Vidal","Chile",2015-07-28,2019,87,180,"Right",1987-05-22,29,"High / High",75
"39",39,"Ivan Rakitic","Croatia",2014-06-24,2021,87,184,"Right",1988-03-10,28,"Medium / Medium",78
"40",40,"David Silva","Spain",2010-07-14,2019,87,173,"Left",1986-01-08,30,"High / Low",67
"41",41,"Samir Handanovic","Slovenia",2012-07-01,2019,87,193,"Right",1984-07-14,32,"Medium / Medium",89
"42",42,"Piqué","Spain",2008-07-01,2019,87,193,"Right",1987-02-02,29,"High / Medium",85
"43",43,"Arjen Robben","Netherlands",2009-08-28,2018,87,180,"Left",1984-01-23,32,"High / Low",80
"44",44,"Paulo Dybala","Argentina",2015-07-01,2020,86,177,"Left",1993-11-15,23,"Medium / Medium",74
"45",45,"Marco Verratti","Italy",2012-07-01,2021,86,165,"Right",1992-11-05,24,"High / High",60
"46",46,"David Alaba","Austria",2010-02-10,2021,86,180,"Left",1992-06-24,24,"High / Medium",76
"47",47,"Henrikh Mkhitaryan","Armenia",2016-07-06,2020,86,177,"Right",1989-01-21,27,"High / High",75
"48",48,"Bernd Leno","Germany",2012-01-01,2018,86,190,"Right",1992-03-04,24,"Medium / Medium",83
"49",49,"Thomas Müller","Germany",2008-08-10,2021,86,186,"Right",1989-09-13,27,"High / High",75
"50",50,"Sergio Busquets","Spain",2008-09-01,2021,86,189,"Right",1988-07-16,28,"Medium / Medium",76
"51",51,"Thiago","Spain",2013-07-14,2019,86,174,"Right",1991-04-11,25,"Medium / Medium",70
"52",52,"Jordi Alba","Spain",2012-07-01,2020,86,170,"Left",1989-03-21,27,"High / Medium",68
"53",53,"Coutinho","Brazil",2013-01-30,2022,86,171,"Right",1992-06-12,24,"High / High",68
"54",54,"Ángel Di María","Argentina",2015-08-06,2019,86,180,"Left",1988-02-14,28,"High / Medium",75
"55",55,"Diego Costa","Spain",2014-07-15,2019,86,188,"Right",1988-10-07,28,"High / Medium",85
"56",56,"Edinson Cavani","Uruguay",2013-07-16,2018,86,184,"Right",1987-02-14,29,"High / High",71
"57",57,"Radja Nainggolan","Belgium",2014-01-07,2020,86,176,"Right",1988-05-04,28,"High / High",65
"58",58,"Marcelo","Brazil",2007-01-01,2020,86,174,"Left",1988-05-12,28,"High / Medium",75
"59",59,"Claudio Marchisio","Italy",2007-06-01,2020,86,180,"Right",1986-01-19,30,"High / High",75
"60",60,"Miranda","Brazil",2015-07-03,2018,86,186,"Right",1984-09-07,32,"Medium / Medium",78
